test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,flavor_4
1177,Sugar Plum,Hybrid,Pain, Stress, Inflammation, Lack of Appetite, Nausea,Euphoric, Happy, Relaxed, Uplifted, Creative, Dry Mouth, Paranoid,,Sweet, Berry,,
1178,Cherry Pie,Indica,,,,,,,,,,,,,,Pungent,Earthy,Sweet,
1184,Cream Caramel,Hybrid,Stress, Insomnia, Depression, Pain,,Relaxed, Happy, Sleepy, Euphoric, Focused, Dry Mouth, Anxious,,Sweet, Honey, Earthy,
1192,LA Woman,Hybrid,,,,,,,,,,,,,,Earthy,Berry,Grape,
1217,Remedy,Indica,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Sleepy, Happy, Uplifted, Focused, Dry Mouth,,,Earthy, Citrus,,
1243,Elephant,Sativa,,,,,,Happy, Creative, Focused, Relaxed, Euphoric,,,,Sweet, Earthy,,
1259,Blue OG,Hybrid,,,,,,,,,,,,,,Apricot,Earthy,Spicy/Herbal,
1271,Chernobyl,Hybrid,,,,,,Happy,Euphoric,Relaxed,Energetic,Uplifted,,,,,,,
1276,Kosher Kush,Hybrid,Pain, Stress, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy,,,
1332,Kali Mist,Hybrid,Stress, Pain, Depression, Lack of Appetite, Muscle Spasms,Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid,Earthy, Sweet, Citrus,
1333,Super Skunk,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Sleepy, Hungry, Euphoric, Dry Mouth, Paranoid, Anxious,Skunk, Earthy, Sweet,
1369,Caramelicious,Hybrid,,,,,,Focused,Happy,Relaxed,Euphoric,Creative,,,,,,,
1449,AK-48,Hybrid,,,,,,Happy,Energetic,Uplifted,Creative,Relaxed,,,,,,,
1453,MK Ultra,Hybrid,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,
1522,Sweet Cheese,Hybrid,Depression, Stress, Lack of Appetite,,,Euphoric, Uplifted, Happy, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet,,,
1576,The Black,Hybrid,Insomnia, Stress, Pain, Muscle Spasms, Inflammation,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,
1631,Super Silver Haze,Sativa,Stress, Depression, Pain, Lack of Appetite,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Citrus, Earthy, Sweet,
1736,Charlie Sheen,Hybrid,,,,,,,,,,,,,,Spicy/Herbal,Earthy,Sweet,
1741,Purple OG Kush,Indica,Stress, Insomnia, Depression, Lack of Appetite,,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,,,
1855,THC Bomb,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,
1889,Aurora Indica,Hybrid,Stress, Insomnia, Pain, Muscle Spasms, Inflammation,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Pine, Skunk,,
1908,Chronic,Hybrid,,,,,,Relaxed,Happy,Giggly,Euphoric,Energetic,,,,,,,
1921,Fruit Punch,Hybrid,Depression, Stress, Pain, Nausea,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet, Berry,,
1922,Pot of Gold,Hybrid,Insomnia, Pain, Lack of Appetite, Stress,,Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth,Sweet, Grape, Pineapple,
1939,Granddaddy Purple,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Berry, Grape, Sweet,
1959,Burmese,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,
2009,Buffalo Bill,Sativa,Depression, Stress, Pain, Insomnia,,Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Anxious,,Pine, Earthy,,
2022,Alaskan Thunder Fuck,Sativa,Stress, Depression, Lack of Appetite, Pain,,Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,
2023,Deadwood,Indica,Stress, Muscle Spasms, Pain,,,Relaxed, Sleepy, Creative, Focused, Happy,,,,Berry, Lavender, Earthy,
2044,Green Crack,Hybrid,Stress, Depression, Pain,,,Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus, Sweet, Earthy,
2119,Blackberry Trainwreck,Hybrid,,,,,,,,,,,,,,Earthy,Tropical,Flowery,
2122,Skywalker,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
2140,Blue Mystic,Hybrid,Stress, Depression, Nausea,,,Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,,Blueberry, Earthy, Sweet,
2179,Berry White,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Blueberry,
2211,Purple Diesel,Hybrid,,,,,,,,,,,,,,Grape,Rose,Honey,
2222,Blue City Diesel,Hybrid,,,,,,,,,,,,,,Lime,Grapefruit,Tropical,
2268,Straight Jacket,Hybrid,,,,,,,,,,,,,,Citrus,Grapefruit,Earthy,
2280,Cinderella 99,Sativa,,,,,,,,,,,,,,Earthy,Spicy/Herbal,Sweet,
2343,Royal Haze,Hybrid,Depression, Stress, Pain,,,Uplifted, Relaxed, Talkative, Happy, Euphoric, Dry Mouth,,,Skunk, Citrus, Earthy,
2350,Strawberry Kush,Hybrid,,,,,,,,,,,,,,Sweet,Berry,Flowery,
2358,Jack Frost,Hybrid,,,,,,,,,,,,,,Earthy,Citrus,Sweet,
2563,X Factor,Hybrid,,,,,,,,,,,,,,Sweet,Woody,Earthy,
2626,Papaya,Hybrid,Stress, Pain, Insomnia, Inflammation,,Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Sweet,,,
2626,Papaya,Hybrid,Stress, Pain, Insomnia, Inflammation,,Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Sweet,,,
2629,Acapulco Gold,Sativa,Depression, Stress, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious,Earthy, Citrus,,
2688,LSD,Hybrid,,,,,,Happy,Relaxed,Euphoric,Uplifted,Creative,,,,Citrus,Pepper,Grapefruit,
2748,Oregon Diesel,Hybrid,Depression, Stress, Insomnia, Pain,,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious,Earthy,,,
2764,Critical Kush,Indica,Depression, Stress, Pain, Lack of Appetite, Insomnia,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,,,
2772,Vanilla Kush,Indica,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Vanilla, Sweet,,
2945,White Rhino,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid,,Earthy, Sweet,,
2946,White Lavender,Hybrid,,,,,,,,,,,,,,Strawberry,Sweet,Flowery,
2949,Thai,Sativa,Stress, Depression, Pain,,,Happy, Relaxed, Uplifted, Euphoric, Energetic, Dry Mouth, Anxious,,Earthy, Sweet,,
2993,Bubblicious,Hybrid,,,,,,Happy,Relaxed,Talkative,Giggly,Uplifted,,,,Sweet,Tropical,Citrus,
2996,Shark Attack,Hybrid,Pain, Stress, Insomnia, Inflammation,,Happy, Focused, Hungry, Horny, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Skunk,,
3052,Blackberry,Hybrid,,,,,,Relaxed,Euphoric,Happy,Uplifted,Sleepy,,,,,,,
3280,Purple Haze,Hybrid,Depression, Stress, Pain,,,Euphoric, Happy, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid,,Earthy, Sweet, Berry,
3348,Everlast,Indica,Stress, Insomnia, Pain, Depression, Inflammation,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth,,,Earthy, Skunk,,
3388,Northern Lights x Blueberry,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Skunk,
3439,Alien Dawg,Indica,Stress, Pain, Insomnia, Nausea,,Relaxed, Euphoric, Happy, Sleepy, Uplifted, Dry Mouth, Anxious,,Earthy,,,
3510,Blood Wreck,Hybrid,,,,,,,,,,,,,,Sweet,Earthy,Flowery,
3523,Flo,Hybrid,,,,,,Happy,Uplifted,Relaxed,Creative,Focused,,,,,,,
3528,Maui Wowie,Sativa,Stress, Depression, Pain,,,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Sweet, Pineapple,,
3560,Sensi Star,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,
3574,Blueberry Skunk,Hybrid,Stress, Pain, Muscle Spasms, Nausea,,Euphoric, Relaxed, Happy, Uplifted, Tingly, Dry Mouth, Anxious, Paranoid,Blueberry, Berry, Skunk,
3581,Snow Leopard,Hybrid,Stress, Pain, Insomnia, Depression, Inflammation,Euphoric, Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,
3586,Cheese,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,,,,,,,
3592,Hindu Kush,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,
3605,Dutch Dream,Hybrid,,,,,,,,,,,,,,Lavender,Ammonia,Sweet,
3608,Deep Purple,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious,,Grape, Earthy, Sweet,
3620,Rosetta Stone,Hybrid,,,,,,,,,,,,,,Citrus,Orange,Sweet,
3707,Skunk,Hybrid,,,,,,,,,,,,,,Spicy/Herbal,Pepper,Earthy,
3818,Pez,Indica,Pain, Inflammation, Stress, Insomnia, Depression,Euphoric, Happy, Energetic, Talkative, Relaxed, Dry Mouth, Paranoid,,Sweet, Citrus,,
3847,Phantom Cookies,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,
3903,Purple Urkle,Hybrid,Pain, Insomnia, Stress, Depression, Inflammation,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,,Sweet, Grape, Berry,
3908,Death Star,Hybrid,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid,Earthy,,,
3934,Cheeseburger,Hybrid,,,,,,Tingly,Uplifted,Relaxed,Aroused,Creative,,,,,,,
4064,Chocolate Chunk,Hybrid,Insomnia, Pain, Stress, Depression, Nausea,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Earthy, Sweet,,
4066,Cherry Kush,Organi,,,,,,,,,,,,,,Lemon,Pine,Earthy,
4073,Amnesia Haze,Hybrid,Stress, Depression, Pain,,,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Citrus, Lemon, Earthy,
4208,Green Love Potion,Hybrid,Pain, Muscle Spasms, Insomnia, Lack of Appetite, Stress,Relaxed, Horny, Tingly, Euphoric, Sleepy, Dry Mouth,,,Pine,,,
4272,Enigma,Hybrid,Insomnia, Depression, Pain, Nausea, Inflammation,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth,,,,Citrus,,,
4320,Super Blue Dream,Hybrid,,,,,,,,,,,,,,Citrus,Orange,Tropical,
